ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,9799860
POOLED,100,7806840
PLATFORM,200,0
VIRTUAL,200,1176040
POOLED,200,5270780
PLATFORM,400,0
VIRTUAL,400,1820260
POOLED,400,5284180
PLATFORM,800,0
VIRTUAL,800,36228680
POOLED,800,12088720
PLATFORM,1600,0
VIRTUAL,1600,6483360
POOLED,1600,4596500
PLATFORM,3200,0
VIRTUAL,3200,5679100
POOLED,3200,6444520
PLATFORM,6400,0
VIRTUAL,6400,7793540
POOLED,6400,7534420
PLATFORM,12800,0
VIRTUAL,12800,13795300
POOLED,12800,8915820
PLATFORM,25600,0
VIRTUAL,25600,17993280
POOLED,25600,18288360
PLATFORM,51200,0
VIRTUAL,51200,26710700
POOLED,51200,31690260
PLATFORM,102400,0
VIRTUAL,102400,61569140
POOLED,102400,66878500
PLATFORM,204800,0
VIRTUAL,204800,192587720
POOLED,204800,140118200
PLATFORM,409600,0
VIRTUAL,409600,429310320
POOLED,409600,528332080
