ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,44732620
VIRTUAL,100,1332360
POOLED,100,5480520
PLATFORM,200,34315500
VIRTUAL,200,1426820
POOLED,200,7108780
PLATFORM,400,63092800
VIRTUAL,400,1505400
POOLED,400,3790160
PLATFORM,800,107698180
VIRTUAL,800,3724520
POOLED,800,6475520
PLATFORM,1600,212159080
VIRTUAL,1600,9451040
POOLED,1600,14150320
PLATFORM,3200,448832760
VIRTUAL,3200,10493560
POOLED,3200,14827400
PLATFORM,6400,862795680
VIRTUAL,6400,16922760
POOLED,6400,20869640
PLATFORM,12800,1703579900
VIRTUAL,12800,33479159
POOLED,12800,40474200
PLATFORM,25600,3407515159
VIRTUAL,25600,73141739
POOLED,25600,80543120
PLATFORM,51200,7338076320
VIRTUAL,51200,166723280
POOLED,51200,163790420
PLATFORM,102400,14824808140
VIRTUAL,102400,389470120
POOLED,102400,302297020
