ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,12138780
POOLED,100,3559180
PLATFORM,200,0
VIRTUAL,200,758140
POOLED,200,2997040
PLATFORM,400,0
VIRTUAL,400,1266500
POOLED,400,4326240
PLATFORM,800,0
VIRTUAL,800,3195320
POOLED,800,5036140
PLATFORM,1600,0
VIRTUAL,1600,5118440
POOLED,1600,7519940
PLATFORM,3200,0
VIRTUAL,3200,9363000
POOLED,3200,10466660
PLATFORM,6400,0
VIRTUAL,6400,13443120
POOLED,6400,14590600
PLATFORM,12800,0
VIRTUAL,12800,22770100
POOLED,12800,26370500
PLATFORM,25600,0
VIRTUAL,25600,49107040
POOLED,25600,42411340
PLATFORM,51200,0
VIRTUAL,51200,119409840
POOLED,51200,144098620
PLATFORM,102400,0
VIRTUAL,102400,387330240
POOLED,102400,295327480
PLATFORM,204800,0
VIRTUAL,204800,880173280
POOLED,204800,569363480
PLATFORM,409600,0
VIRTUAL,409600,1773185320
POOLED,409600,1173790660
