ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,22648160
VIRTUAL,100,886066
POOLED,100,1586220
PLATFORM,200,44597113
VIRTUAL,200,576266
POOLED,200,1630720
PLATFORM,400,85922540
VIRTUAL,400,1050913
POOLED,400,1767606
PLATFORM,800,156163013
VIRTUAL,800,2054113
POOLED,800,8673193
PLATFORM,1600,369358020
VIRTUAL,1600,4922780
POOLED,1600,12202366
PLATFORM,3200,733796433
VIRTUAL,3200,9905806
POOLED,3200,9519800
PLATFORM,6400,1607190146
VIRTUAL,6400,42794026
POOLED,6400,20001653
PLATFORM,12800,3172638000
VIRTUAL,12800,65538860
POOLED,12800,40392613
PLATFORM,25600,6037238480
VIRTUAL,25600,108450560
POOLED,25600,81373946
PLATFORM,51200,12610330246
VIRTUAL,51200,308576793
POOLED,51200,157439880
PLATFORM,102400,24911274766
VIRTUAL,102400,700190980
POOLED,102400,329125713
PLATFORM,204800,50636487173
VIRTUAL,204800,1729194380
POOLED,204800,671703540
PLATFORM,409600,102310410166
VIRTUAL,409600,3780835026
POOLED,409600,1349842300
