ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,19966900
VIRTUAL,100,3032440
POOLED,100,2286160
PLATFORM,200,27194620
VIRTUAL,200,1284560
POOLED,200,3418720
PLATFORM,400,54522840
VIRTUAL,400,1513220
POOLED,400,3595440
PLATFORM,800,113578300
VIRTUAL,800,2664160
POOLED,800,3653780
PLATFORM,1600,208119280
VIRTUAL,1600,5466360
POOLED,1600,6173720
PLATFORM,3200,383911140
VIRTUAL,3200,8363240
POOLED,3200,7519480
PLATFORM,6400,758632760
VIRTUAL,6400,11026520
POOLED,6400,13009160
PLATFORM,12800,1516368860
VIRTUAL,12800,22357220
POOLED,12800,23868800
PLATFORM,25600,3039717800
VIRTUAL,25600,46775660
POOLED,25600,39870860
PLATFORM,51200,6116180540
VIRTUAL,51200,100205120
POOLED,51200,85156520
PLATFORM,102400,12747207620
VIRTUAL,102400,225358000
POOLED,102400,178955640
PLATFORM,204800,25367445580
VIRTUAL,204800,503180300
POOLED,204800,378231100
PLATFORM,409600,50703610760
VIRTUAL,409600,1063278200
POOLED,409600,742216420
