ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,21370021
VIRTUAL,100,10056212
POOLED,100,12388205
PLATFORM,200,28366548
VIRTUAL,200,3156264
POOLED,200,9008074
PLATFORM,400,72515607
VIRTUAL,400,4317228
POOLED,400,10886487
PLATFORM,800,109911676
VIRTUAL,800,7733604
POOLED,800,12180751
PLATFORM,1600,227843908
VIRTUAL,1600,12686879
POOLED,1600,15200619
PLATFORM,3200,510314243
VIRTUAL,3200,22108004
POOLED,3200,24333716
PLATFORM,6400,867484126
VIRTUAL,6400,39438909
POOLED,6400,45265745
PLATFORM,12800,1694072128
VIRTUAL,12800,81163518
POOLED,12800,82961272
PLATFORM,25600,3325537381
VIRTUAL,25600,156509295
POOLED,25600,152622313
PLATFORM,51200,6614679574
VIRTUAL,51200,314783345
POOLED,51200,310682866
PLATFORM,102400,13152836363
VIRTUAL,102400,674048075
POOLED,102400,615483173
PLATFORM,204800,26154168500
VIRTUAL,204800,1363715138
POOLED,204800,1228810777
PLATFORM,409600,52513980508
VIRTUAL,409600,2697486908
POOLED,409600,2438062006
