ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,16342574
POOLED,100,9023700
PLATFORM,200,0
VIRTUAL,200,9788619
POOLED,200,7455666
PLATFORM,400,0
VIRTUAL,400,11426508
POOLED,400,11726745
PLATFORM,800,0
VIRTUAL,800,16750108
POOLED,800,17193401
PLATFORM,1600,0
VIRTUAL,1600,33875238
POOLED,1600,39601979
PLATFORM,3200,0
VIRTUAL,3200,52298501
POOLED,3200,52923914
PLATFORM,6400,0
VIRTUAL,6400,100922154
POOLED,6400,100383224
PLATFORM,12800,0
VIRTUAL,12800,188367972
POOLED,12800,202649595
PLATFORM,25600,0
VIRTUAL,25600,362522095
POOLED,25600,397404038
PLATFORM,51200,0
VIRTUAL,51200,842725036
POOLED,51200,767294990
PLATFORM,102400,0
VIRTUAL,102400,1526961741
POOLED,102400,1644480840
PLATFORM,204800,0
VIRTUAL,204800,2984009486
POOLED,204800,3388583412
PLATFORM,409600,0
VIRTUAL,409600,5976688813
POOLED,409600,6863004480
