ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,10191035
POOLED,100,6549817
PLATFORM,200,0
VIRTUAL,200,4953993
POOLED,200,5924983
PLATFORM,400,0
VIRTUAL,400,7777831
POOLED,400,8116740
PLATFORM,800,0
VIRTUAL,800,15914198
POOLED,800,14079709
PLATFORM,1600,0
VIRTUAL,1600,28143094
POOLED,1600,25389114
PLATFORM,3200,0
VIRTUAL,3200,49088714
POOLED,3200,51992697
PLATFORM,6400,0
VIRTUAL,6400,95762529
POOLED,6400,100574319
PLATFORM,12800,0
VIRTUAL,12800,182302080
POOLED,12800,203813765
PLATFORM,25600,0
VIRTUAL,25600,357441228
POOLED,25600,430368281
PLATFORM,51200,0
VIRTUAL,51200,726709198
POOLED,51200,857417692
PLATFORM,102400,0
VIRTUAL,102400,1452814617
POOLED,102400,1718146809
PLATFORM,204800,0
VIRTUAL,204800,2873294605
POOLED,204800,3435909877
PLATFORM,409600,0
VIRTUAL,409600,5918149967
POOLED,409600,6865873968
