ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,46065727
POOLED,100,10263566
PLATFORM,200,0
VIRTUAL,200,3385062
POOLED,200,6278213
PLATFORM,400,0
VIRTUAL,400,4288067
POOLED,400,7479588
PLATFORM,800,0
VIRTUAL,800,8014236
POOLED,800,8582994
PLATFORM,1600,0
VIRTUAL,1600,12786152
POOLED,1600,14454061
PLATFORM,3200,0
VIRTUAL,3200,25143491
POOLED,3200,25737125
PLATFORM,6400,0
VIRTUAL,6400,42787190
POOLED,6400,44490555
PLATFORM,12800,0
VIRTUAL,12800,84883291
POOLED,12800,80412909
PLATFORM,25600,0
VIRTUAL,25600,164995913
POOLED,25600,155224608
PLATFORM,51200,0
VIRTUAL,51200,335535899
POOLED,51200,306327408
PLATFORM,102400,0
VIRTUAL,102400,661743463
POOLED,102400,604268918
PLATFORM,204800,0
VIRTUAL,204800,1365053922
POOLED,204800,1233087955
PLATFORM,409600,0
VIRTUAL,409600,2782375503
POOLED,409600,2430965096
