ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,9641290
POOLED,100,5481285
PLATFORM,200,0
VIRTUAL,200,3153773
POOLED,200,4101755
PLATFORM,400,0
VIRTUAL,400,4769581
POOLED,400,5492531
PLATFORM,800,0
VIRTUAL,800,7970783
POOLED,800,9728855
PLATFORM,1600,0
VIRTUAL,1600,13511376
POOLED,1600,14504887
PLATFORM,3200,0
VIRTUAL,3200,24366521
POOLED,3200,25767766
PLATFORM,6400,0
VIRTUAL,6400,46052039
POOLED,6400,45344742
PLATFORM,12800,0
VIRTUAL,12800,82469876
POOLED,12800,80266793
PLATFORM,25600,0
VIRTUAL,25600,159367630
POOLED,25600,155617626
PLATFORM,51200,0
VIRTUAL,51200,326650104
POOLED,51200,305608834
PLATFORM,102400,0
VIRTUAL,102400,657050029
POOLED,102400,614027353
PLATFORM,204800,0
VIRTUAL,204800,1343017177
POOLED,204800,1233885413
PLATFORM,409600,0
VIRTUAL,409600,2715984312
POOLED,409600,2465614291
