ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,5704107
VIRTUAL,100,929800
POOLED,100,1138096
PLATFORM,200,10573713
VIRTUAL,200,1664845
POOLED,200,1641072
PLATFORM,400,22330169
VIRTUAL,400,3235310
POOLED,400,2758503
PLATFORM,800,40312723
VIRTUAL,800,5510467
POOLED,800,5247358
PLATFORM,1600,73821432
VIRTUAL,1600,10665946
POOLED,1600,9823232
PLATFORM,3200,151059729
VIRTUAL,3200,21292937
POOLED,3200,19534427
PLATFORM,6400,292097152
VIRTUAL,6400,43794410
POOLED,6400,38406321
PLATFORM,12800,584141167
VIRTUAL,12800,83935506
POOLED,12800,79078090
PLATFORM,25600,1142797896
VIRTUAL,25600,172057439
POOLED,25600,151651685
PLATFORM,51200,2353928954
VIRTUAL,51200,342810085
POOLED,51200,302761011
PLATFORM,102400,4918257095
VIRTUAL,102400,690151674
POOLED,102400,603689574
PLATFORM,204800,10227610289
VIRTUAL,204800,1352921931
POOLED,204800,1234079689
PLATFORM,409600,21962414855
VIRTUAL,409600,2761139423
POOLED,409600,2414965892
