ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,5112448
VIRTUAL,100,985300
POOLED,100,918776
PLATFORM,200,10609903
VIRTUAL,200,2028856
POOLED,200,1573948
PLATFORM,400,21846461
VIRTUAL,400,3357067
POOLED,400,3004237
PLATFORM,800,37598106
VIRTUAL,800,5791340
POOLED,800,5149418
PLATFORM,1600,74307968
VIRTUAL,1600,10731436
POOLED,1600,9981442
PLATFORM,3200,142692056
VIRTUAL,3200,21152905
POOLED,3200,19416909
PLATFORM,6400,290346630
VIRTUAL,6400,42594591
POOLED,6400,38513559
PLATFORM,12800,582073947
VIRTUAL,12800,84183263
POOLED,12800,76462132
PLATFORM,25600,1121480272
VIRTUAL,25600,167420221
POOLED,25600,152051770
PLATFORM,51200,2293710277
VIRTUAL,51200,334814920
POOLED,51200,310623562
PLATFORM,102400,4436369082
VIRTUAL,102400,658825497
POOLED,102400,605203193
PLATFORM,204800,9394476656
VIRTUAL,204800,1357936083
POOLED,204800,1207723683
PLATFORM,409600,20437018548
VIRTUAL,409600,2868532385
POOLED,409600,2416388156
