ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,8265090
VIRTUAL,100,2109420
POOLED,100,2099240
PLATFORM,200,15046020
VIRTUAL,200,670850
POOLED,200,1517580
PLATFORM,400,31311470
VIRTUAL,400,1005270
POOLED,400,2054780
PLATFORM,800,62849190
VIRTUAL,800,1937410
POOLED,800,3164620
PLATFORM,1600,120295180
VIRTUAL,1600,3148380
POOLED,1600,3591670
PLATFORM,3200,236513800
VIRTUAL,3200,5773360
POOLED,3200,6658990
PLATFORM,6400,473890030
VIRTUAL,6400,11467810
POOLED,6400,11926850
PLATFORM,12800,943906510
VIRTUAL,12800,22529060
POOLED,12800,23562960
PLATFORM,25600,1908234720
VIRTUAL,25600,45374240
POOLED,25600,45334680
PLATFORM,51200,3796536520
VIRTUAL,51200,89357400
POOLED,51200,91071160
PLATFORM,102400,7365845820
VIRTUAL,102400,183433350
POOLED,102400,180255310
PLATFORM,204800,14958543700
VIRTUAL,204800,409232610
POOLED,204800,379666890
PLATFORM,409600,30236845110
VIRTUAL,409600,823208840
POOLED,409600,744451840
