ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,3263630
POOLED,100,2116810
PLATFORM,200,0
VIRTUAL,200,2055800
POOLED,200,2716980
PLATFORM,400,0
VIRTUAL,400,4109050
POOLED,400,4963300
PLATFORM,800,0
VIRTUAL,800,7941960
POOLED,800,8895260
PLATFORM,1600,0
VIRTUAL,1600,16566630
POOLED,1600,17206010
PLATFORM,3200,0
VIRTUAL,3200,32470820
POOLED,3200,34116300
PLATFORM,6400,0
VIRTUAL,6400,63543440
POOLED,6400,65551950
PLATFORM,12800,0
VIRTUAL,12800,119765190
POOLED,12800,130827980
PLATFORM,25600,0
VIRTUAL,25600,247876060
POOLED,25600,262330560
PLATFORM,51200,0
VIRTUAL,51200,475113150
POOLED,51200,524318470
PLATFORM,102400,0
VIRTUAL,102400,978571460
POOLED,102400,1048673620
PLATFORM,204800,0
VIRTUAL,204800,1883278190
POOLED,204800,2107122320
PLATFORM,409600,0
VIRTUAL,409600,3881590870
POOLED,409600,4224836980
