ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,0
VIRTUAL,100,2747830
POOLED,100,1753980
PLATFORM,200,0
VIRTUAL,200,548390
POOLED,200,1501220
PLATFORM,400,0
VIRTUAL,400,1022290
POOLED,400,2205100
PLATFORM,800,0
VIRTUAL,800,1963230
POOLED,800,2976590
PLATFORM,1600,0
VIRTUAL,1600,3498530
POOLED,1600,3572270
PLATFORM,3200,0
VIRTUAL,3200,5849690
POOLED,3200,6542540
PLATFORM,6400,0
VIRTUAL,6400,11404420
POOLED,6400,12207150
PLATFORM,12800,0
VIRTUAL,12800,22655230
POOLED,12800,23030610
PLATFORM,25600,0
VIRTUAL,25600,45941620
POOLED,25600,46233820
PLATFORM,51200,0
VIRTUAL,51200,89276340
POOLED,51200,87758670
PLATFORM,102400,0
VIRTUAL,102400,180922190
POOLED,102400,174980550
PLATFORM,204800,0
VIRTUAL,204800,434686850
POOLED,204800,356119640
PLATFORM,409600,0
VIRTUAL,409600,846315720
POOLED,409600,706825190
