ThreadType,NumThreads,AvgExecutionTime
PLATFORM,100,4492410
VIRTUAL,100,554720
POOLED,100,3184340
PLATFORM,200,11901540
VIRTUAL,200,488120
POOLED,200,2797710
PLATFORM,400,28816020
VIRTUAL,400,866160
POOLED,400,1317020
PLATFORM,800,55846180
VIRTUAL,800,1895130
POOLED,800,3106860
PLATFORM,1600,112553510
VIRTUAL,1600,3068530
POOLED,1600,3360760
PLATFORM,3200,221065720
VIRTUAL,3200,5962450
POOLED,3200,6138880
PLATFORM,6400,411741680
VIRTUAL,6400,41289020
POOLED,6400,11859860
PLATFORM,12800,843591170
VIRTUAL,12800,29317810
POOLED,12800,24564610
PLATFORM,25600,1722741550
VIRTUAL,25600,57741100
POOLED,25600,47019680
PLATFORM,51200,3362526150
VIRTUAL,51200,166491050
POOLED,51200,94748670
PLATFORM,102400,6605303580
VIRTUAL,102400,309215080
POOLED,102400,188239920
PLATFORM,204800,12694687390
VIRTUAL,204800,656736120
POOLED,204800,369674480
PLATFORM,409600,25471478490
VIRTUAL,409600,1430347840
POOLED,409600,771212530
